key,document_type,heading,law_name
BJNR006290950_StPO_19981231_000323,statute,§ 100a,Strafprozeßordnung
BJNR112000996_TKG_19981231_000344,statute,§ 88,Telekommunikationsgesetz
BJNR004440961_KrWaffKontrG_19981231_000096,statute,§ 19,Ausführungsgesetz zu Artikel 26 Abs. 2 des Grundgesetzes
BJNR002980957_WStrG_20011231_000003,statute,§ 1,Wehrstrafgesetz
BJNR001270871_StGB_19981231_001174,statute,§ 260a,Strafgesetzbuch
BJNR072200995_FÜV_20010628_000005,regulation,§ 2,"Verordnung über die technische Umsetzung von Überwachungsmaßnahmen des Fernmeldeverkehrs in Fernmeldeanlagen, die für den öffentlichen Verkehr bestimmt sind"
BJNR001270871_StGB_19981231_001170,statute,§ 260,Strafgesetzbuch
BJNR106810981_BtMG-1981_19991009_000129,statute,§ 30b,Gesetz über den Verkehr mit Betäubungsmitteln
BJNR004440961_KrWaffKontrG_19981231_000103,statute,§ 20,Ausführungsgesetz zu Artikel 26 Abs. 2 des Grundgesetzes
BJNR001270871_StGB_19981231_001431,statute,§ 313,Strafgesetzbuch
BJNR001270871_StGB_19981231_001434,statute,§ 314,Strafgesetzbuch
BJNR004810961_AWG_19981231_000125,statute,§ 34,Außenwirtschaftsgesetz
BJNR001270871_StGB_19981231_000543,statute,§ 97,Strafgesetzbuch
BJNR001270871_StGB_19981231_001410,statute,§ 309,Strafgesetzbuch
BJNR001270871_StGB_19981231_001080,statute,§ 239b,Strafgesetzbuch
BJNR006290950_StPO_19981231_000778,statute,§ 163d,Strafprozeßordnung
BJNR001270871_StGB_19981231_001476,statute,§ 316c,Strafgesetzbuch
BJNR001270871_StGB_19981231_001386,statute,§ 306c,Strafgesetzbuch
BJNR001270871_StGB_19981231_001138,statute,§ 251,Strafgesetzbuch
BJNR029700990_BVerfSchG_19990621_000065,statute,§ 18,Gesetz über die Zusammenarbeit des Bundes und der Länder in Angelegenheiten des Verfassungsschutzes und über das Bundesamt für Verfassungsschutz
BJNR288200998_EMVG-1998_19981231_000047,statute,§ 8,Gesetz über die elektromagnetische Verträglichkeit von Geräten
BJNR001270871_StGB_19981231_001048,statute,§ 234,Strafgesetzbuch
BJNR001270871_StGB_19981231_000644,statute,§ 109h,Strafgesetzbuch
BJNR002980957_WStrG_20011231_000050,statute,§ 16,Wehrstrafgesetz
BJNR001270871_StGB_19981231_001108,statute,§ 244a,Strafgesetzbuch
BJNR001270871_StGB_19981231_000468,statute,§ 82,Strafgesetzbuch
BJNR001270871_StGB_19981231_000890,statute,§ 181,Strafgesetzbuch
BJNR001270871_StGB_19981231_000977,statute,§ 212,Strafgesetzbuch
BJNR013560990_AuslG-1990_19991231_000427,statute,§ 92b,Gesetz über die Einreise und den Aufenthalt von Ausländern im Bundesgebiet
BJNR004440961_KrWaffKontrG_19981231_000115,statute,§ 22a,Ausführungsgesetz zu Artikel 26 Abs. 2 des Grundgesetzes
BJNR009490968_G10_19990621_000050,statute,Art 3,"Gesetz zur Beschränkung des Brief-, Post- und Fernmeldegeheimnisses"
BJNR005930964_VereinsG_19981231_000078,statute,§ 20,Gesetz zur Regelung des öffentlichen Vereinsrechts
BJNR001270871_StGB_19981231_000627,statute,§ 109d,Strafgesetzbuch
BJNR001270871_StGB_19981231_000639,statute,§ 109g,Strafgesetzbuch
BJNR017970972_WaffG_19981231_000251,statute,§ 53,Waffengesetz
BJNR001270871_StGB_19981231_000974,statute,§ 211,Strafgesetzbuch
BJNR001270871_StGB_19981231_001145,statute,§ 255,Strafgesetzbuch
BJNR001270871_StGB_19981231_000558,statute,§ 100,Strafgesetzbuch
BJNR072200995_FÜV_20010628_000004,regulation,§ 1,"Verordnung über die technische Umsetzung von Überwachungsmaßnahmen des Fernmeldeverkehrs in Fernmeldeanlagen, die für den öffentlichen Verkehr bestimmt sind"
BJNR001270871_StGB_19981231_000462,statute,§ 80,Strafgesetzbuch
BJNR001270871_StGB_19981231_000505,statute,§ 89,Strafgesetzbuch
BJNR006290950_StPO_19981231_000348,statute,§ 101,Strafprozeßordnung
BJNR001270871_StGB_19981231_001140,statute,§ 253,Strafgesetzbuch
BJNR001270871_StGB_19981231_001398,statute,§ 307,Strafgesetzbuch
BJNR013560990_AuslG-1990_19991231_000415,statute,§ 92,Gesetz über die Einreise und den Aufenthalt von Ausländern im Bundesgebiet
BJNR001270871_StGB_19981231_000533,statute,§ 94,Strafgesetzbuch
BJNR106810981_BtMG-1981_19991009_000122,statute,§ 30,Gesetz über den Verkehr mit Betäubungsmitteln
BJNR001270871_StGB_19981231_000699,statute,§ 130,Strafgesetzbuch
BJNR001270871_StGB_19981231_001051,statute,§ 234a,Strafgesetzbuch
BJNR001270871_StGB_19981231_000755,statute,§ 146,Strafgesetzbuch
BJNR001270871_StGB_19981231_000562,statute,§ 100a,Strafgesetzbuch
BJNR002980957_WStrG_20011231_000062,statute,§ 19,Wehrstrafgesetz
BJNR106810981_BtMG-1981_19991009_000125,statute,§ 30a,Gesetz über den Verkehr mit Betäubungsmitteln
BJNR001270871_StGB_19981231_001442,statute,§ 315,Strafgesetzbuch
