key,document_type,heading,law_name
150_1998_002097,statute,Sec. 78c,TITLE 15-COMMERCE AND TRADE
150_1998_004238,statute,Sec. 78aaa,TITLE 15-COMMERCE AND TRADE
cfr17v3_1998_003973,regulation,§ 240.15c2-5 Disclosure and other requirements when extending or arranging credit in certain transactions.,Title 17
cfr17v3_1998_000761,regulation,§ 240.11d1-2 Exemption from section 11(d)(1) for certain investment company securities held by broker-dealers as collateral in margin accounts.,Title 17
cfr17v3_1998_000720,regulation,§ 240.11a1-4(T) Bond transactions on national securities exchanges.,Title 17
cfr17v3_1998_009273,regulation,§ 400.3 Definitions.,Title 17
150_1998_024349,statute,Sec. 6102,TITLE 15-COMMERCE AND TRADE
cfr17v3_1998_006289,regulation,§ 240.17Ad-16 Notice of assumption or termination of transfer agent services.,Title 17
cfr12v1_1998_002108,regulation,§ 12.9 Settlement of securities transactions.,Title 12
150_1998_001435,statute,Sec. 77r-1,TITLE 15-COMMERCE AND TRADE
cfr12v5_1998_005308,regulation,§ 567.1 Definitions.,Title 12
150_1998_001376,statute,Sec. 77r,TITLE 15-COMMERCE AND TRADE
cfr17v3_1998_001381,regulation,§ 240.12g5-1 Definition of securities “held of record”.,Title 17
120_1998_001497,statute,Sec. 601,TITLE 12-BANKS AND BANKING
cfr17v2_1998_002158,regulation,§ 201.102 Appearance and practice before the Commission.,Title 17
120_1998_000286,statute,Sec. 92a,TITLE 12-BANKS AND BANKING
cfr17v3_1998_001062,regulation,§ 240.12a-5 Temporary exemption of substituted or additional securities.,Title 17
cfr17v3_1998_006459,regulation,§ 240.19g2-1 Enforcement of compliance by national securities exchanges and registered securities associations with the Act and rules and regulations thereunder.,Title 17
260_1998_058700,statute,Sec. 7603,TITLE 26-INTERNAL REVENUE CODE
150_1998_004675,statute,Sec. 79a,TITLE 15-COMMERCE AND TRADE
220_1998_001612,statute,Sec. 286k-1,TITLE 22-FOREIGN RELATIONS AND INTERCOURSE
