key,document_type,heading,law_name
cfr7v1_2019_005748,regulation,"§ 2.79 Administrator, Agricultural Marketing Service.",Title 7
070_2019_025500,statute,Sec. 2301,TITLE 7-AGRICULTURE
420_2019_082873,statute,Sec. 1755,TITLE 42-THE PUBLIC HEALTH AND WELFARE
070_2019_034633,statute,Sec. 6417,TITLE 7-AGRICULTURE
070_2019_006938,statute,Sec. 501,TITLE 7-AGRICULTURE
070_2019_015059,statute,Sec. 1638,TITLE 7-AGRICULTURE
070_2019_019242,statute,Sec. 2005,TITLE 7-AGRICULTURE
070_2019_028759,statute,Sec. 3401,TITLE 7-AGRICULTURE
070_2019_029297,statute,Sec. 4401,TITLE 7-AGRICULTURE
070_2019_007614,statute,Sec. 610,TITLE 7-AGRICULTURE
070_2019_014339,statute,Sec. 1632c,TITLE 7-AGRICULTURE
070_2019_013671,statute,Sec. 1627b,TITLE 7-AGRICULTURE
070_2019_007547,statute,Sec. 608e,TITLE 7-AGRICULTURE
070_2019_037419,statute,Sec. 7101,TITLE 7-AGRICULTURE
070_2019_007285,statute,Sec. 590,TITLE 7-AGRICULTURE
070_2019_035206,statute,Sec. 6522,TITLE 7-AGRICULTURE
070_2019_034330,statute,Sec. 6401,TITLE 7-AGRICULTURE
070_2019_007266,statute,Sec. 581,TITLE 7-AGRICULTURE
070_2019_026348,statute,Sec. 2901,TITLE 7-AGRICULTURE
070_2019_007305,statute,Sec. 601,TITLE 7-AGRICULTURE
070_2019_006629,statute,Sec. 415e,TITLE 7-AGRICULTURE
070_2019_033828,statute,Sec. 6212,TITLE 7-AGRICULTURE
070_2019_033530,statute,Sec. 6201,TITLE 7-AGRICULTURE
070_2019_006767,statute,Sec. 491,TITLE 7-AGRICULTURE
070_2019_039381,statute,Sec. 7441,TITLE 7-AGRICULTURE
070_2019_006945,statute,Sec. 508,TITLE 7-AGRICULTURE
070_2019_032833,statute,Sec. 6001,TITLE 7-AGRICULTURE
070_2019_033528,statute,Sec. 6112,TITLE 7-AGRICULTURE
