key,document_type,heading,law_name
BJNR206180984_EuLRaumÜbkG_20011231_000008,statute,Art 4,Gesetz zu dem Übereinkommen vom 19. September 1979 über die Erhaltung der europäischen wildlebenden Pflanzen und Tiere und ihrer natürlichen Lebensräume
BJNR017180980_ChemG_20001230_000167,statute,§ 26,Gesetz zum Schutz vor gefährlichen Stoffen
BJNR202530976_CSCG_20011106_000036,statute,Art 7,Gesetz zu dem Übereinkommen vom 2. Dezember 1972 über sichere Container
BJNR208330965_BSeeSchG_20011106_000030,statute,§ 6,Gesetz über die Aufgaben des Bundes auf dem Gebiet der Seeschiffahrt
BJNR125410996_SGB-7_19981231_000788,statute,§ 210,"Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1 des Gesetzes vom 7. August 1996, BGBl. I S. 1254)"
BJNR016400971_HdlKlObstV_20040318_000002,regulation,Eingangsformel,Verordnung über gesetzliche Handelsklassen für frisches Obst und Gemüse
BJNR009530992_StUGOWiV_20061228_000002,regulation,Eingangsformel,Verordnung über die Zuständigkeit für die Verfolgung und Ahndung von Ordnungswidrigkeiten nach § 45 des Stasi-Unterlagen-Gesetzes
BJNR174910994_WpHG_20001227_000185,statute,§ 40,Gesetz über den Wertpapierhandel
BJNR034800974_SchDBOwiZustV_20030131_000002,regulation,Eingangsformel,Verordnung über die Zuständigkeit für die Verfolgung und Ahndung von Ordnungswidrigkeiten nach dem Gesetz über Schifferdienstbücher
BJNR121500992_TabStG-1993_19981231_000104,statute,§ 30a,Tabaksteuergesetz
BJNR072610997_ZSG_20001231_000085,statute,§ 24,Gesetz über den Zivilschutz und die Katastrophenhilfe des Bundes
BJNR004370909_StVG_19981231_000145,statute,§ 26,Straßenverkehrsgesetz
BJNR000090976_WSVZustNeuOV_99999999_000002,regulation,Eingangsformel,Verordnung zur Anpassung von Zuständigkeiten der Wasser- und Schiffahrtsdirektionen an die Neuordnung der Wasser- und Schiffahrtsverwaltung des Bundes
BJNR008810961_KredWG_19981231_000360,statute,§ 60,Gesetz über das Kreditwesen
BJNR008130977_SeeStrOV_20031204_000002,regulation,Eingangsformel,Verordnung zu den Internationalen Regeln von 1972 zur Verhütung von Zusammenstößen auf See
BJNR203170956_BinSchG_19991231_000042,statute,§ 7,Gesetz über die Aufgaben des Bundes auf dem Gebiet der Binnenschiffahrt
BJNR014090971_BAföG_19990512_000299,statute,§ 58,Bundesgesetz über individuelle Förderung der Ausbildung
DDNR005010990_WUmstrwHFG_20051231_000021,statute,§ 7,Gesetz zur Feststellung von rechtswidrigen Handlungen mit Wirkung auf die Währungsumstellung von Mark der Deutschen Demokratischen Republik in Deutsche Mark
BJNR001390901_VAG_19981231_000524,statute,§ 145a,Gesetz über die Beaufsichtigung der Versicherungsunternehmen
BJNR002770971_FahrpersStG_20011106_000024,statute,§ 9,Gesetz über das Fahrpersonal von Kraftfahrzeugen und Straßenbahnen
BJNR210350989_BinSchAbkCSKG_20011106_000007,statute,Art 5,Gesetz zu dem Abkommen vom 26. Januar 1988 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Tschechoslowakischen Sozialistischen Republik über den Binnenschiffsverkehr
BJNR021020996_IntZLuftAbkProtG_99999999_000003,statute,Art 2,Gesetz zu dem Protokoll vom 10. Mai 1984 zur Änderung des Abkommens vom 7. Dezember 1944 über die Internationale Zivilluftfahrt (9. Änderung des Abkommens über die Internationale Zivilluftfahrt)
BJNR016370970_WoGG-2_19991231_000157,statute,§ 43,Wohngeldgesetz
BJNR007590969_EichG_20011106_000059,statute,§ 19,Gesetz über das Meß- und Eichwesen
BJNR017970972_WaffG_19981231_000257,statute,§ 55,Waffengesetz
BJNR002090975_OWiG-124V_99999999_000002,regulation,Eingangsformel,Verordnung über die Zuständigkeit für die Verfolgung und Ahndung von Ordnungswidrigkeiten nach § 124 des Gesetzes über Ordnungswidrigkeiten
BJNR177010993_GwG_20011106_000051,statute,§ 17,Gesetz über das Aufspüren von Gewinnen aus schweren Straftaten
BJNR009270969_AufenthEWGG_20001230_000070,statute,§ 12a,Gesetz über Einreise und Aufenthalt von Staatsangehörigen der Mitgliedstaaten der Europäischen Wirtschaftsgemeinschaft
BJNR003150957_SchwarzArbG_20011231_000018,statute,§ 6,Gesetz zur Bekämpfung der Schwarzarbeit
BJNR035740976_BNatSchG_20010802_000211,statute,§ 30,Gesetz über Naturschutz und Landschaftspflege
BJNR007210974_BImSchG_19990202_000281,statute,§ 62a,"Gesetz zum Schutz vor schädlichen Umwelteinwirkungen durch Luftverunreinigungen, Geräusche, Erschütterungen und ähnliche Vorgänge"
BJNR012210991_NordSSchV_20070629_000002,regulation,Eingangsformel,Verordnung über die Verhütung der Verschmutzung der Nordsee durch Schiffsabwasser
BJNR200900987_RobErhÜbkG_20011106_000008,statute,Art 4,Gesetz zu dem Übereinkommen vom 1. Juni 1972 zur Erhaltung der antarktischen Robben
BJNR078200995_MBergG_20011106_000037,statute,§ 11,Gesetz zur Regelung des Meeresbodenbergbaus
BJNR141700993_SeeFSichV-1993_19990930_000002,regulation,Eingangsformel,Verordnung über die Sicherung der Seefahrt
BJNR110800990_GenTG_20001130_000176,statute,§ 38,Gesetz zur Regelung der Gentechnik
BJNR004620987_BStatG-1987_20001031_000101,statute,§ 24,Gesetz über die Statistik für Bundeszwecke
BJNR077920993_BinSchAbkPOLG_20011106_000006,statute,Art 5,Gesetz zu dem Abkommen vom 8. November 1991 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Republik Polen über die Binnenschiffahrt
BJNR008140959_AtG_20000510_000234,statute,§ 46,Gesetz über die friedliche Verwendung der Kernenergie und den Schutz gegen ihre Gefahren
BJNR021460985_SeeUG_20011106_000097,statute,§ 24,Gesetz über die Untersuchung von Seeunfällen
BJNR101500994_SGB-11_19990731_000473,statute,§ 112,"Sozialgesetzbuch (SGB) - Elftes Buch (XI) - Soziale Pflegeversicherung (Artikel 1 des Gesetzes vom 26. Mai 1994, BGBl. I S. 1014)"
BJNR021700985_SortSchG-1985_19991231_000167,statute,§ 40,Sortenschutzgesetz
BJNR127490990_VerkaufsprospektG_20011231_000061,statute,§ 17,Wertpapier-Verkaufsprospektgesetz
BJNR011840979_UhVorschG_19991231_000036,statute,§ 10,Gesetz zur Sicherung des Unterhalts von Kindern alleinstehender Mütter und Väter durch Unterhaltsvorschüsse oder -ausfalleistungen
