key,document_type,heading,law_name
BJNR006049896_BGBEG_19981231_000425,statute,Art 233 Drittes Buch. Sachenrecht,Einführungsgesetz zum Bürgerlichen Gesetzbuche
BJNR245710994_SachenRBerG_19981231_000419,statute,§ 111,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR001350897_ZVGEG_19991227_000021,statute,§ 9a,Einführungsgesetz zu dem Gesetz über die Zwangsversteigerung und die Zwangsverwaltung
BJNR221500993_BoSoG_20000629_000008,statute,§ 3,Gesetz über die Sonderung unvermessener und überbauter Grundstücke nach der Karte
BJNR255000994_MeAnlG_19991230_000003,statute,§ 1,Gesetz zur Regelung der Rechtsverhältnisse an Meliorationsanlagen
BJNR001950896_BGB_19981231_001600,statute,§ 666,Bürgerliches Gesetzbuch
BJNR001390897_GBO_19981231_000098,statute,§ 27,Grundbuchordnung
BJNR007840991_VZOG_20000629_000047,statute,§ 7,Gesetz über die Feststellung der Zuordnung von ehemals volkseigenem Vermögen
BJNR001950896_BGB_19981231_002016,statute,§ 878,Bürgerliches Gesetzbuch
BJNR001950896_BGB_19981231_002136,statute,§ 928,Bürgerliches Gesetzbuch
BJNR160610994_GGV_20071129_000002,regulation,§ 1,Verordnung über die Anlegung und Führung von Gebäudegrundbüchern
BJNR219200993_GBBerG-1993_20001107_000024,statute,§ 7,Grundbuchbereinigungsgesetz
BJNR245710994_SachenRBerG_19981231_000063,statute,§ 17,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR098900993_WGVG_99999999_000002,statute,§ 1,Gesetz zur Regelung vermögensrechtlicher Angelegenheiten der Wohnungsgenossenschaften im Beitrittsgebiet
BJNR219200993_GBBerG-1993_20001107_000019,statute,§ 6,Grundbuchbereinigungsgesetz
BJNR160610994_GGV_20071129_000045,regulation,§ 14,Verordnung über die Anlegung und Führung von Gebäudegrundbüchern
BJNR003410960_BBauG_19981231_000577,statute,§ 134,Baugesetzbuch
BJNR160610994_GGV_20071129_000018,regulation,§ 5,Verordnung über die Anlegung und Führung von Gebäudegrundbüchern
BJNR001390897_GBO_19981231_000071,statute,§ 13,Grundbuchordnung
BJNR001390897_GBO_19981231_000160,statute,§ 55,Grundbuchordnung
BJNR001950896_BGB_19981231_002038,statute,§ 885,Bürgerliches Gesetzbuch
BJNR006049896_BGBEG_19981231_000537,statute,"Art 237 Bestandsschutz, Ausschlußfrist",Einführungsgesetz zum Bürgerlichen Gesetzbuche
BJNR221500993_BoSoG_20000629_000003,statute,§ 1,Gesetz über die Sonderung unvermessener und überbauter Grundstücke nach der Karte
BJNR160610994_GGV_20071129_000012,regulation,§ 4,Verordnung über die Anlegung und Führung von Gebäudegrundbüchern
BJNR160610994_GGV_20071129_000004,regulation,§ 3,Verordnung über die Anlegung und Führung von Gebäudegrundbüchern
BJNR160610994_GGV_20071129_000040,regulation,§ 12,Verordnung über die Anlegung und Führung von Gebäudegrundbüchern
BJNR001950896_BGB_19981231_002688,statute,§ 1183,Bürgerliches Gesetzbuch
BJNR219200993_GBBerG-1993_20001107_000035,statute,§ 9,Grundbuchbereinigungsgesetz
BJNR001950896_BGB_19981231_001601,statute,§ 667,Bürgerliches Gesetzbuch
BJNR245710994_SachenRBerG_19981231_000050,statute,§ 14,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR245710994_SachenRBerG_19981231_000096,statute,§ 25,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR253810994_SchuldRAnpG_20010731_000025,statute,§ 7,Gesetz zur Anpassung schuldrechtlicher Nutzungsverhältnisse an Grundstücken im Beitrittsgebiet
DDNR006420990_LAnpG_20010831_000151,statute,§ 53,Gesetz über die strukturelle Anpassung der Landwirtschaft an die soziale und ökologische Marktwirtschaft in der Deutschen Demokratischen Republik
BJNR012579992_VermRÄndG-2_20011106_000008,statute,Art 14 Überleitungsvorschrift,Gesetz zur Änderung des Vermögensgesetzes und anderer Vorschriften
BJNR221500993_BoSoG_20000629_000077,statute,§ 22,Gesetz über die Sonderung unvermessener und überbauter Grundstücke nach der Karte
BJNR245710994_SachenRBerG_19981231_000297,statute,§ 79,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR006049896_BGBEG_19981231_000550,statute,Art 231,Einführungsgesetz zum Bürgerlichen Gesetzbuche
BJNR245710994_SachenRBerG_19981231_000136,statute,§ 36,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR245710994_SachenRBerG_19981231_000459,statute,§ 121,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR245710994_SachenRBerG_19981231_000234,statute,§ 63,Gesetz zur Sachenrechtsbereinigung im Beitrittsgebiet
BJNR390000994_SachenR-DV_99999999_000038,regulation,§ 13,Verordnung zur Durchführung des Grundbuchbereinigungsgesetzes und anderer Vorschriften auf dem Gebiet des Sachenrechts
BJNR005910953_FlurbG_20010831_000391,statute,§ 119,Flurbereinigungsgesetz
BJNR001390897_GBO_19981231_000386,statute,§ 144,Grundbuchordnung
BJNR012530976_VwVfG_20011231_000055,statute,§ 16,Verwaltungsverfahrensgesetz
