family,label
4,Corporations and Banking
0,Vocational Training
1,Social Security
11,Courts and Data Protection
6,Environmental and Workplace Safety
3,Criminal Law and Justice
2,Personal and Consumption Taxes
5,Corporate Taxes
16,Environmental Protection
7,Property
