family,label
21,Vocational Training and Crafts
15,"Aviation, Land and Sea Transport Infrastructure"
27,Industrial and Employment Law
23,State-Run Enterprises and Government Employees
29,Employee Representation
20,Social Restitution and Compulsory Services
