n,m_s,out_degree,in_degree,type,hub,description,key,document_type
256,19,0,255,Sink,§ 36 Gesetz über Ordnungswidrigkeiten,,BJNR004810968_OWiG-1968_20201031_000133,statute
224,6,0,223,Sink,§ 4 Berufsbildungsgesetz,,BJNR093110005_BBiG-2005_20191231_000020,statute
194,0,1,192,Sink,§ 25 Gesetz zur Ordnung des Handwerks,,BJNR014110953_HwO_20191231_000117,statute
191,3,0,190,Sink,§ 1 Berufsbildungsgesetz,,BJNR093110005_BBiG-2005_20191231_000003,statute
180,26,16,168,Sink,§ 1 Gesetz über das Kreditwesen,,BJNR008810961_KredWG_20191231_000004,statute
165,8,0,164,Sink,§ 383 Zivilprozessordnung,,BJNR005330950_ZPO_20191231_001072,statute
152,12,0,151,Sink,Art 13 Grundgesetz für die Bundesrepublik Deutschland,,BJNR000010949_GG_99999999_000061,statute
139,1,0,138,Sink,§ 1 Gesetz zur Anpassung von Rechtsvorschriften an veränderte Zuständigkeiten oder Behördenbezeichnungen innerhalb der Bundesregierung,,BJNR316510002_ZustAnpG-2002_99999999_000002,statute
131,28,89,45,Hinge,§ 3 Einkommensteuergesetz,,BJNR010050934_EStG_20191231_000029,statute
90,0,4,85,Sink,§ 56 Berufsbildungsgesetz,,BJNR093110005_BBiG-2005_20191231_000199,statute
88,0,74,13,Hinge,Art 229 Weitere Überleitungsvorschriften Einführungsgesetz zum Bürgerlichen Gesetzbuche,,BJNR006049896_BGBEG_20191231_000385,statute
86,1,19,67,Hinge,"§ 60 Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch",,BJNR261810005_LFGB_20210930_000269,statute
84,0,73,10,Hinge,Art 97 Übergangsvorschriften Einführungsgesetz zur Abgabenordnung,,BJNR033419976_AOEG-1977_20191231_000007,statute
82,0,61,20,Hinge,§ 100a Strafprozeßordnung,,BJNR006290950_StPO_20191231_000376,statute
81,0,0,80,Sink,§ 45 Gesetz zur Ordnung des Handwerks,,BJNR014110953_HwO_20191231_000272,statute
76,0,75,0,Source,§ 69a Straßenverkehrs-Zulassungs-Ordnung,,BJNR067910012_StVZO-2012_20191231_000574,regulation
76,0,1,74,Sink,§ 5 Berufsbildungsgesetz,,BJNR093110005_BBiG-2005_20191231_000026,statute
73,1,71,2,Source,§ 340 Kapitalanlagegesetzbuch,,BJNR198110013_KAGB_20191231_001619,statute
72,0,0,71,Sink,§ 53 Berufsbildungsgesetz,,BJNR093110005_BBiG-2005_20191231_000193,statute
71,0,9,61,Hinge,"§ 215 Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1 des Gesetzes vom 7. August 1996, BGBl. I S. 1254)",,BJNR125410996_SGB-7_20191231_000864,statute
70,0,0,69,Sink,Art 116 Grundgesetz für die Bundesrepublik Deutschland,,BJNR000010949_GG_99999999_000562,statute
67,5,34,37,Hinge,§ 2 Gesetz über das Kreditwesen,,BJNR008810961_KredWG_20191231_000061,statute
66,1,51,15,Hinge,§ 4 Umsatzsteuergesetz,,BJNR119530979_UStG-1980_20191231_000082,statute
65,0,45,19,Hinge,§ 1 Verordnung zur Übertragung von Befugnissen zum Erlass von Rechtsverordnungen auf die Bundesanstalt für Finanzdienstleistungsaufsicht,,BJNR000300003_BAFinBefugV_20191231_000003,regulation
65,0,0,64,Sink,§ 49 Verwaltungsverfahrensgesetz,,BJNR012530976_VwVfG_20201031_000230,statute
65,0,0,64,Sink,Art 10 Grundgesetz für die Bundesrepublik Deutschland,,BJNR000010949_GG_99999999_000044,statute
64,0,2,61,Sink,§ 30 Abgabenordnung,,BJNR006130976_AO-1977_20191231_000096,statute
61,2,10,52,Hinge,§ 2 Gesetz über den Wertpapierhandel,,BJNR174910994_WpHG_20191231_000008,statute
60,0,22,37,Hinge,§ 53b Gesetz über das Kreditwesen,,BJNR008810961_KredWG_20191231_000810,statute
59,0,56,2,Source,§ 194 Gesetz zum Schutz vor der schädlichen Wirkung ionisierender Strahlung,,BJNR196610017_StrlSchG_20191231_000779,statute
59,0,0,58,Sink,"§ 18 Sozialgesetzbuch (SGB) Viertes Buch (IV) - Gemeinsame Vorschriften für die Sozialversicherung - (Artikel I des Gesetzes vom 23. Dezember 1976, BGBl. I S. 3845)",,BJNR138450976_SGB-4_20191231_000108,statute
57,2,8,50,Hinge,§ 325 Handelsgesetzbuch,,BJNR002190897_HGB_20191231_001013,statute
57,1,13,45,Hinge,"§ 5 Sozialgesetzbuch (SGB) Fünftes Buch (V) - Gesetzliche Krankenversicherung - (Artikel 1 des Gesetzes v. 20. Dezember 1988, BGBl. I S. 2477)",,BJNR024820988_SGB-5_20191231_000023,statute
57,1,20,37,Hinge,"§ 59 Lebensmittel-, Bedarfsgegenstände- und Futtermittelgesetzbuch",,BJNR261810005_LFGB_20210930_000264,statute
56,0,25,30,Hinge,Art 233 Drittes Buch. Sachenrecht Einführungsgesetz zum Bürgerlichen Gesetzbuche,,BJNR006049896_BGBEG_20191231_000583,statute
55,0,30,24,Hinge,§ 129a Strafgesetzbuch,,BJNR001270871_StGB_20200312_000738,statute
54,0,13,40,Hinge,"§ 2 Siebtes Buch Sozialgesetzbuch - Gesetzliche Unfallversicherung - (Artikel 1 des Gesetzes vom 7. August 1996, BGBl. I S. 1254)",,BJNR125410996_SGB-7_20191231_000006,statute
54,0,0,53,Sink,§ 74a Strafgesetzbuch,,BJNR001270871_StGB_20200312_000391,statute
53,0,3,49,Sink,§ 29 Gesetz über die Elektrizitäts- und Gasversorgung,,BJNR197010005_EnWG-2005_20191231_000428,statute
53,0,0,52,Sink,Art 2 Grundgesetz für die Bundesrepublik Deutschland,,BJNR000010949_GG_99999999_000009,statute
52,1,13,39,Hinge,"§ 78 Gesetz über den Aufenthalt, die Erwerbstätigkeit und die Integration von Ausländern im Bundesgebiet",,BJNR195010004_AufenthG-2004_20191231_000699,statute
52,0,0,51,Sink,§ 48 Verwaltungsverfahrensgesetz,,BJNR012530976_VwVfG_20201031_000224,statute
51,3,13,40,Hinge,§ 20 Einkommensteuergesetz,,BJNR010050934_EStG_20191231_000361,statute
50,1,44,7,Hinge,§ 52 Einkommensteuergesetz,,BJNR010050934_EStG_20191231_000849,statute
50,0,5,44,Hinge,§ 7 Gesetz über die friedliche Verwendung der Kernenergie und den Schutz gegen ihre Gefahren,,BJNR008140959_AtG_20191231_000066,statute
50,1,6,45,Hinge,§ 32 Gesetz über das Kreditwesen,,BJNR008810961_KredWG_20191231_000576,statute
50,0,3,46,Sink,§ 27 Gesetz zur Angleichung des Sozialversicherungsrechts im Saarland an das im übrigen Bundesgebiet geltende Recht,,BJNR004020963_SVSaarAnglG_99999999_000044,statute
