,tokens_n_abs_sta,tokens_n_abs_reg,structures_n_abs_sta,structures_n_abs_reg,structures_n_abs_sta_ssi,structures_n_abs_reg_ssi,seqitems_n_abs_sta,seqitems_n_abs_reg,crossrefs_n_abs_sta,crossrefs_n_abs_reg,crossrefs_n_abs_sta_reg,crossrefs_n_abs_reg_sta,tokens_n_rel_sta,tokens_n_rel_reg,structures_n_rel_sta,structures_n_rel_reg,structures_rel_sta_ssi,structures_rel_reg_ssi,seqitems_n_rel_sta,seqitems_n_rel_reg,crossrefs_n_rel_sta,crossrefs_n_rel_reg,crossrefs_n_rel_sta_reg,crossrefs_n_rel_reg_sta
2008,5845168.0,4611315.0,49647,38780,138218,97297,41472,32187,106100,41031,444,18502,1.1638138946823497,1.1895516978523235,1.0009879430622202,1.0127441763292593,1.0586712419001516,1.1068426141857688,1.0029019152640744,1.0149465518872387,1.2284642460170434,1.225867168593708,1.455737704918033,1.2816569686893877
2009,6063378.0,4666729.0,50447,39345,141775,98478,42140,32630,111033,41272,465,19405,1.207261034261338,1.2038464961440882,1.0171176257107142,1.027499216546537,1.0859158381715406,1.120277572379273,1.019055910234088,1.028915586667928,1.2855803075213041,1.2330674315078725,1.5245901639344261,1.3442089221390967
2010,6080920.0,4721844.0,50199,39478,141486,99170,41926,32765,111714,41896,466,19863,1.2107537693444899,1.2180641633013158,1.012117424089681,1.030972526898569,1.0837022625959343,1.1281497070701325,1.0138808280131553,1.033172516002901,1.293465172286032,1.2517104358997342,1.5278688524590165,1.375935162094763
2011,6241268.0,4818787.0,50756,39738,143794,100601,42424,32983,115041,42889,526,20372,1.2426801793954116,1.243071934456593,1.023347715633695,1.0377624569100596,1.1013802294765545,1.1444286445594676,1.0259237763590636,1.0400466685586354,1.3319863838458688,1.28137790923486,1.7245901639344263,1.4111942366306456
2012,6392558.0,4907145.0,51304,40237,146079,102039,42879,33452,118141,43052,537,20761,1.2728030781942985,1.2658650875851118,1.0343965482479132,1.0507938995090358,1.118882029442853,1.160787213469086,1.0369268717353453,1.0548355563964305,1.3678793071507966,1.2862477966000418,1.7606557377049181,1.4381407592130784
2013,6594668.0,5036396.0,51711,40875,148648,104172,43175,33988,122083,44248,546,21482,1.3130445949914633,1.2992071486889643,1.0426025242953345,1.0674553431526168,1.1385591078294703,1.1850520448211137,1.0440849293867285,1.0717371424967679,1.413521211559837,1.3219802216844432,1.7901639344262295,1.4880853422000555
2014,6661304.0,5074440.0,52022,41017,149716,104773,43440,34071,122795,43811,550,22155,1.326312289382121,1.30902111819508,1.0488729384249365,1.0711636895435077,1.1467393801988388,1.1918889710482907,1.0504933255948927,1.0743543657175292,1.4217650055576139,1.3089241432882197,1.8032786885245902,1.5347049044056524
2015,6859444.0,5135137.0,52887,41414,152829,105930,44155,34355,127459,44210,605,22710,1.3657633513691096,1.3246787385061067,1.0663131577886205,1.0815313903687453,1.170583189080715,1.2050509072293953,1.0677839040433352,1.0833096837259168,1.4757664875879954,1.3208449105195543,1.9836065573770492,1.5731504571903574
2016,7089161.0,5235127.0,53691,41789,156278,108055,44829,34639,132151,45202,667,23119,1.4115016152555788,1.3504725249354124,1.0825234888503568,1.0913245586545492,1.1970005667978982,1.2292247312439566,1.0840829947765525,1.0922650017343045,1.5300921637643572,1.350482507245078,2.1868852459016392,1.6014824050983651
2017,7424204.0,5366570.0,55096,42740,161671,111231,46021,35404,139055,46446,747,24169,1.4782110235593364,1.3843800423834294,1.1108512440017744,1.1161600334273478,1.2383078784907857,1.26535464421819,1.1129086863996904,1.1163876012991518,1.6100291774731381,1.3876490095903917,2.4491803278688526,1.6742172346910502
2018,7557226.0,5318164.0,55543,42594,163555,111821,46419,35354,141420,45739,783,24890,1.5046966355893816,1.371893053425564,1.1198637041816202,1.1123472265747414,1.2527382466030423,1.2720664353563507,1.1225333720255368,1.1148109608047172,1.6374120044460911,1.3665262466015358,2.5672131147540984,1.7241618176780271
2019,7722586.0,5382769.0,56091,43153,166015,113679,46953,35834,144584,47134,833,25326,1.5376209699497752,1.3885587957224466,1.1309125367958386,1.1269455760994465,1.2715804470043965,1.2932028894829646,1.1354468949506675,1.129946709551288,1.6740459429418304,1.4082041169968031,2.7311475409836063,1.754364089775561
