key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR015429981_MVzAFWoG_99999999_000001,document,statute,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,405,238,267,3,6,2,0,0,0,0,0
BJNR018490976_GasLastV_20150907_000001,document,regulation,Verordnung über die Sicherstellung der Gasversorgung,Verordnung über die Sicherstellung der Gasversorgung,1083,461,124,0,13,20,7,18,0,3,0
BJNR070410993_GSGV-9_99999999_000001,document,regulation,Neunte Verordnung zum Produktsicherheitsgesetz (Maschinenverordnung),Neunte Verordnung zum Produktsicherheitsgesetz (Maschinenverordnung),2658,821,750,0,10,23,24,3,0,1,0
BJNR036710013_StVO-2013_20141029_000001,document,regulation,Straßenverkehrs-Ordnung,Straßenverkehrs-Ordnung,14465,3378,664,3,55,240,251,15,0,8,0
BJNR200120930_SchLHeimÜbkG_99999999_000001,document,statute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,51,40,37,0,2,2,0,0,0,0,0
BJNR009030953_FStrG_20140531_000001,document,statute,Bundesfernstraßengesetz,Bundesfernstraßengesetz,9110,2078,539,0,39,162,80,63,34,11,16
BJNR002780944_WasKwV_99999999_000001,document,regulation,Verordnung über die steuerliche Begünstigung von Wasserkraftwerken,Verordnung über die steuerliche Begünstigung von Wasserkraftwerken,419,202,52,0,9,11,1,0,0,0,0
BJNR295500998_BioAbfV_20140531_000001,document,regulation,"Verordnung über die Verwertung von Bioabfällen auf landwirtschaftlich, forstwirtschaftlich und gärtnerisch genutzten Böden","Verordnung über die Verwertung von Bioabfällen auf landwirtschaftlich, forstwirtschaftlich und gärtnerisch genutzten Böden",8890,1549,451,0,20,71,246,8,10,4,3
BJNR700770949_LwRentBkG_20131231_000001,document,statute,Gesetz über die Landwirtschaftliche Rentenbank,Gesetz über die Landwirtschaftliche Rentenbank,1911,733,153,0,19,40,13,10,1,3,1
BJNR407000013_EMV-FTEKostV-2013_20210930_000001,document,regulation,Verordnung über Gebühren und Auslagen für Amtshandlungen nach dem Gesetz über die elektromagnetische Verträglichkeit von Betriebsmitteln und nach dem Gesetz über Funkanlagen und Telekommunikationsendeinrichtungen,Verordnung über Gebühren und Auslagen für Amtshandlungen nach dem Gesetz über die elektromagnetische Verträglichkeit von Betriebsmitteln und nach dem Gesetz über Funkanlagen und Telekommunikationsendeinrichtungen,319,107,96,0,3,2,0,7,0,3,0
