key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR127700005_ProdMechTextAusbV_20070731_000001,document,regulation,Verordnung über die Berufsausbildung zum Produktionsmechaniker- Textil/zur Produktionsmechanikerin-Textil,Verordnung über die Berufsausbildung zum Produktionsmechaniker- Textil/zur Produktionsmechanikerin-Textil,1293,536,134,0,13,15,3,3,0,1,0
BJNR013900003_StDÜV_20051231_000001,document,regulation,Verordnung über die elektronische Übermittlung von für das Besteuerungsverfahren erforderlichen Daten,Verordnung über die elektronische Übermittlung von für das Besteuerungsverfahren erforderlichen Daten,1765,598,381,0,10,16,3,62,0,6,0
BJNR701631005_BinSchStrO1998AbwV-47_20080314_000001,document,regulation,Siebenundvierzigste Verordnung zur vorübergehenden Abweichung von der Binnenschifffahrtsstraßen-Ordnung,Siebenundvierzigste Verordnung zur vorübergehenden Abweichung von der Binnenschifffahrtsstraßen-Ordnung,0,0,0,0,0,0,0,0,0,0,0
BJNR023050987_FRV_20070228_000001,document,regulation,Fahrzeugregisterverordnung,Fahrzeugregisterverordnung,6730,1217,487,5,28,80,116,71,2,7,1
BJNR524920004_LTO-WIROST-2005_20051231_000001,document,regulation,Verordnung über den Lotstarif für das Seelotsrevier Wismar/Rostock/Stralsund,Verordnung über den Lotstarif für das Seelotsrevier Wismar/Rostock/Stralsund,906,377,137,0,7,23,0,1,0,1,0
BJNR015420991_URüV_99999999_000001,document,regulation,Verordnung zum Vermögensgesetz über die Rückgabe von Unternehmen,Verordnung zum Vermögensgesetz über die Rückgabe von Unternehmen,3192,944,162,6,21,51,3,67,3,8,3
BJNR012730965_UrhG_20061115_000001,document,statute,Gesetz über Urheberrecht und verwandte Schutzrechte,Gesetz über Urheberrecht und verwandte Schutzrechte,20384,3256,189,43,188,399,401,15,39,11,12
BJNR208700981_LMeerSchÜbkG_20061107_000001,document,statute,Gesetz zu dem Übereinkommen vom 4. Juni 1974 zur Verhütung der Meeresverschmutzung vom Lande aus,Gesetz zu dem Übereinkommen vom 4. Juni 1974 zur Verhütung der Meeresverschmutzung vom Lande aus,195,124,62,0,6,2,1,0,0,0,0
BJNR078400003_RAV-2003_99999999_000001,document,regulation,Verordnung zur Anpassung der Renten im Jahr 2003,Verordnung zur Anpassung der Renten im Jahr 2003,463,149,265,0,6,6,0,17,0,3,0
BJNR108620994_DBAG-BOL_99999999_000001,document,statute,Gesetz zu dem Abkommen vom 30. September 1992 zwischen der Bundesrepublik Deutschland und der Republik Bolivien zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen,Gesetz zu dem Abkommen vom 30. September 1992 zwischen der Bundesrepublik Deutschland und der Republik Bolivien zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen,213,138,106,0,4,2,0,0,0,0,0
BJNR102970977_AbgG_20071231_000001,document,statute,Gesetz über die Rechtsverhältnisse der Mitglieder des Deutschen Bundestages,Gesetz über die Rechtsverhältnisse der Mitglieder des Deutschen Bundestages,8762,1936,210,12,64,168,143,36,59,11,10
BJNR114210001_PUAG_99999999_000001,document,statute,Gesetz zur Regelung des Rechts der Untersuchungsausschüsse des Deutschen Bundestages,Gesetz zur Regelung des Rechts der Untersuchungsausschüsse des Deutschen Bundestages,3624,1077,135,0,36,103,33,24,8,6,1
