key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR201730968_WaStrG_20170601_000001,document,statute,Bundeswasserstraßengesetz,Bundeswasserstraßengesetz,8901,2109,242,11,52,172,69,63,111,18,49
BJNR155400999_BBodSchV_20171002_000001,document,regulation,Bundes-Bodenschutz- und Altlastenverordnung,Bundes-Bodenschutz- und Altlastenverordnung,3301,1024,342,8,15,53,7,52,0,4,0
BJNR015429981_MVzAFWoG_99999999_000001,document,statute,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,405,238,267,3,6,2,0,0,0,0,0
BJNR010490961_WiPrO_20170625_000001,document,statute,Gesetz über eine Berufsordnung der Wirtschaftsprüfer,Gesetz über eine Berufsordnung der Wirtschaftsprüfer,28368,4571,645,29,178,426,419,183,104,32,12
BJNR070410993_GSGV-9_99999999_000001,document,regulation,Neunte Verordnung zum Produktsicherheitsgesetz (Maschinenverordnung),Neunte Verordnung zum Produktsicherheitsgesetz (Maschinenverordnung),2658,821,750,0,10,23,24,3,0,1,0
BJNR189410015_LuftVO-2015_20170406_000001,document,regulation,Luftverkehrs-Ordnung,Luftverkehrs-Ordnung,8121,1920,559,11,44,111,74,16,3,2,3
BJNR200120930_SchLHeimÜbkG_99999999_000001,document,statute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,51,40,37,0,2,2,0,0,0,0,0
BJNR226300008_PStV_20171031_000001,document,regulation,Verordnung zur Ausführung des Personenstandsgesetzes,Verordnung zur Ausführung des Personenstandsgesetzes,11068,2235,265,15,74,182,44,35,3,14,2
BJNR247900013_KASchlichtV_20170131_000001,document,regulation,Verordnung über die Schlichtungsstelle nach § 342 des Kapitalanlagegesetzbuches,Verordnung über die Schlichtungsstelle nach § 342 des Kapitalanlagegesetzbuches,0,0,0,0,0,0,0,0,0,0,0
BJNR002780944_WasKwV_99999999_000001,document,regulation,Verordnung über die steuerliche Begünstigung von Wasserkraftwerken,Verordnung über die steuerliche Begünstigung von Wasserkraftwerken,419,202,52,0,9,11,1,0,0,0,0
