key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR155400999_BBodSchV_20171002_000001,document,regulation,Bundes-Bodenschutz- und Altlastenverordnung,Bundes-Bodenschutz- und Altlastenverordnung,3301,1024,342,8,15,53,7,52,0,4,0
BJNR015429981_MVzAFWoG_99999999_000001,document,statute,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,Gesetz zum Abbau der Fehlsubventionierung und der Mietverzerrung im Wohnungswesen,405,238,267,3,6,2,0,0,0,0,0
BJNR070410993_GSGV-9_99999999_000001,document,regulation,Neunte Verordnung zum Produktsicherheitsgesetz (Maschinenverordnung),Neunte Verordnung zum Produktsicherheitsgesetz (Maschinenverordnung),2658,821,750,0,10,23,24,3,0,1,0
BJNR002440877_ZPOEG_20160331_000001,document,statute,"Gesetz, betreffend die Einführung der Zivilprozeßordnung","Gesetz, betreffend die Einführung der Zivilprozeßordnung",4847,1211,607,0,32,40,1,117,0,26,0
BJNR100610012_FinVermV_20160506_000001,document,regulation,Verordnung über die Finanzanlagenvermittlung,Verordnung über die Finanzanlagenvermittlung,5870,1471,408,6,28,69,64,110,0,9,0
BJNR200120930_SchLHeimÜbkG_99999999_000001,document,statute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute,51,40,37,0,2,2,0,0,0,0,0
BJNR226300008_PStV_20171031_000001,document,regulation,Verordnung zur Ausführung des Personenstandsgesetzes,Verordnung zur Ausführung des Personenstandsgesetzes,11068,2235,265,15,74,182,44,35,3,14,2
BJNR002780944_WasKwV_99999999_000001,document,regulation,Verordnung über die steuerliche Begünstigung von Wasserkraftwerken,Verordnung über die steuerliche Begünstigung von Wasserkraftwerken,419,202,52,0,9,11,1,0,0,0,0
BJNR633400015_TextilArbbV-2_20171231_000001,document,regulation,Zweite Verordnung über zwingende Arbeitsbedingungen in der Textil- und Bekleidungsindustrie,Zweite Verordnung über zwingende Arbeitsbedingungen in der Textil- und Bekleidungsindustrie,331,196,175,0,3,2,0,6,0,1,0
BJNR407000013_EMV-FTEKostV-2013_20210930_000001,document,regulation,Verordnung über Gebühren und Auslagen für Amtshandlungen nach dem Gesetz über die elektromagnetische Verträglichkeit von Betriebsmitteln und nach dem Gesetz über Funkanlagen und Telekommunikationsendeinrichtungen,Verordnung über Gebühren und Auslagen für Amtshandlungen nach dem Gesetz über die elektromagnetische Verträglichkeit von Betriebsmitteln und nach dem Gesetz über Funkanlagen und Telekommunikationsendeinrichtungen,319,107,96,0,3,2,0,7,0,3,0
BJNR108100000_AflatoxinverbotsV_99999999_000001,document,regulation,Verordnung über das Verbot der Verwendung von mit Aflatoxinen kontaminierten Stoffen bei der Herstellung von Arzneimitteln,Verordnung über das Verbot der Verwendung von mit Aflatoxinen kontaminierten Stoffen bei der Herstellung von Arzneimitteln,340,179,100,0,4,6,3,9,0,1,0
BJNR356500013_See-BAV_99999999_000001,document,regulation,Verordnung über die Berufsausbildung in der Seeschifffahrt,Verordnung über die Berufsausbildung in der Seeschifffahrt,4492,1299,225,4,31,79,35,3,0,2,0
BJNR117810001_TeigwVorschrAufhV_20160714_000001,document,regulation,Verordnung zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren (Artikel 2 der Verordnung zur Änderung der Aromenverordnung und zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren),Verordnung zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren (Artikel 2 der Verordnung zur Änderung der Aromenverordnung und zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren),170,99,124,0,2,0,1,0,0,0,0
BJNR022720985_EinhV_99999999_000001,document,regulation,Ausführungsverordnung zum Gesetz über die Einheiten im Messwesen und die Zeitbestimmung,Ausführungsverordnung zum Gesetz über die Einheiten im Messwesen und die Zeitbestimmung,314,182,59,0,7,4,1,5,0,1,0
BJNR214530965_EGVertrG_99999999_000001,document,statute,Gesetz zu dem Vertrag vom 8. April 1965 zur Einsetzung eines gemeinsamen Rates und einer gemeinsamen Kommission der Europäischen Gemeinschaften,Gesetz zu dem Vertrag vom 8. April 1965 zur Einsetzung eines gemeinsamen Rates und einer gemeinsamen Kommission der Europäischen Gemeinschaften,316,149,165,0,5,2,0,0,0,0,0
BJNR275800997_BHV1V_20160506_000001,document,regulation,Verordnung zum Schutz der Rinder vor einer Infektion mit dem Bovinen Herpesvirus Typ 1,Verordnung zum Schutz der Rinder vor einer Infektion mit dem Bovinen Herpesvirus Typ 1,4185,811,499,8,16,39,71,1,0,1,0
BJNR051100011_BetrWHwOPrV_20161027_000001,document,regulation,Verordnung über die Prüfung zum anerkannten Fortbildungsabschluss Geprüfter Betriebswirt nach der Handwerksordnung und Geprüfte Betriebswirtin nach der Handwerksordnung,Verordnung über die Prüfung zum anerkannten Fortbildungsabschluss Geprüfter Betriebswirt nach der Handwerksordnung und Geprüfte Betriebswirtin nach der Handwerksordnung,2111,778,158,0,17,38,10,1,0,1,0
BJNR000800979_KFürsV_20170724_000001,document,regulation,Verordnung zur Kriegsopferfürsorge,Verordnung zur Kriegsopferfürsorge,7749,1766,230,13,61,119,33,116,1,9,1
BJNR008600993_FrHfGrDEGV-1_99999999_000001,document,regulation,Erste Verordnung zur Änderung der Grenze des Freihafens Deggendorf,Erste Verordnung zur Änderung der Grenze des Freihafens Deggendorf,355,166,297,0,3,0,0,1,0,1,0
BJNR001070990_WasSkiV-1990_20160603_000001,document,regulation,Verordnung über das Wasserskilaufen auf den Binnenschiffahrtsstraßen,Verordnung über das Wasserskilaufen auf den Binnenschiffahrtsstraßen,797,359,145,0,7,9,9,8,4,2,2
