key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR000490984_AFGLeistungsV-1984_20070504_000001,document,regulation,"Verordnung über die Leistungssätze des Unterhaltsgeldes, des Arbeitslosengeldes, der Arbeitslosenhilfe, des Kurzarbeitergeldes und des Schlechtwettergeldes für das Jahr 1984","Verordnung über die Leistungssätze des Unterhaltsgeldes, des Arbeitslosengeldes, der Arbeitslosenhilfe, des Kurzarbeitergeldes und des Schlechtwettergeldes für das Jahr 1984",0,0,0,0,0,0,0,0,0,0,0
BJNR783600003_RheinSchPV1994AbwV-21_20070331_000001,document,regulation,Einundzwanzigste Verordnung zur vorübergehenden Abweichung von der Rheinschifffahrtspolizeiverordnung,Einundzwanzigste Verordnung zur vorübergehenden Abweichung von der Rheinschifffahrtspolizeiverordnung,0,0,0,0,0,0,0,0,0,0,0
DDNR514790990_NatPMSchweizV_99999999_000001,document,regulation,"Verordnung über die Festsetzung von Naturschutzgebieten und einem Landschaftsschutzgebiet von zentraler Bedeutung als Naturpark ""Märkische Schweiz""","Verordnung über die Festsetzung von Naturschutzgebieten und einem Landschaftsschutzgebiet von zentraler Bedeutung als Naturpark ""Märkische Schweiz""",3283,1214,1216,0,13,18,9,0,0,0,0
BJNR086900998_HBauStatG_20061231_000001,document,statute,Gesetz über die Statistik der Bautätigkeit im Hochbau und die Fortschreibung des Wohnungsbestandes,Gesetz über die Statistik der Bautätigkeit im Hochbau und die Fortschreibung des Wohnungsbestandes,1132,431,141,0,11,14,34,2,0,1,0
BJNR203690972_JurPersAnerkÜbkG_20101214_000001,document,statute,Gesetz zu dem Übereinkommen vom 29. Februar 1968 über die gegenseitige Anerkennung von Gesellschaften und juristischen Personen,Gesetz zu dem Übereinkommen vom 29. Februar 1968 über die gegenseitige Anerkennung von Gesellschaften und juristischen Personen,261,158,131,0,4,4,0,0,0,0,0
BJNR001500988_BSHG-88Abs2DV-1988_20101214_000001,document,regulation,Verordnung zur Durchführung des § 90 Abs. 2 Nr. 9 des Zwölften Buches Sozialgesetzbuch,Verordnung zur Durchführung des § 90 Abs. 2 Nr. 9 des Zwölften Buches Sozialgesetzbuch,558,222,314,0,5,4,4,8,2,2,1
BJNR258700001_AusbBerAufhV-2001_99999999_000001,document,regulation,Verordnung über die Aufhebung der Anerkennung von Ausbildungsberufen,Verordnung über die Aufhebung der Anerkennung von Ausbildungsberufen,152,106,77,0,4,0,1,0,0,0,0
BJNR027190975_PfWirtAusbV_20100731_000001,document,regulation,Verordnung über die Berufsausbildung zum Pferdewirt,Verordnung über die Berufsausbildung zum Pferdewirt,861,411,93,0,13,13,4,0,0,0,0
BJNR027660990_RoV_20100228_000001,document,regulation,Raumordnungsverordnung,Raumordnungsverordnung,487,250,450,0,3,0,0,15,0,11,0
BJNR018730974_HeimG_20090930_000001,document,statute,Heimgesetz,Heimgesetz,7050,1681,279,0,27,107,85,26,27,7,11
BJNR136790974_SVStFreigG_99999999_000001,document,statute,Gesetz über die Freigabe der stillgelegten Mittel aus der Steuer für den Selbstverbrauch sowie über die Aufhebung der Stillegungspflicht für künftig aufkommende Beträge,Gesetz über die Freigabe der stillgelegten Mittel aus der Steuer für den Selbstverbrauch sowie über die Aufhebung der Stillegungspflicht für künftig aufkommende Beträge,132,88,59,0,4,0,0,0,0,0,0
BJNR201490959_UhAnsprAuslÜbkG_20071231_000001,document,statute,Gesetz zu dem Übereinkommen vom 20. Juni 1956 über die Geltendmachung von Unterhaltsansprüchen im Ausland,Gesetz zu dem Übereinkommen vom 20. Juni 1956 über die Geltendmachung von Unterhaltsansprüchen im Ausland,190,121,54,0,4,6,2,0,0,0,0
BJNR000660933_KnArbV_20071231_000001,document,regulation,Verordnung über knappschaftliche Arbeiten,Verordnung über knappschaftliche Arbeiten,379,213,168,0,6,2,7,0,0,0,0
BJNR200010972_SozSichÄndAbkTURG_99999999_000001,document,statute,Gesetz zu dem Abkommen vom 28. Mai 1969 zwischen der Bundesrepublik Deutschland und der Republik Türkei zur Änderung des Abkommens vom 30. April 1964 über Soziale Sicherheit,Gesetz zu dem Abkommen vom 28. Mai 1969 zwischen der Bundesrepublik Deutschland und der Republik Türkei zur Änderung des Abkommens vom 30. April 1964 über Soziale Sicherheit,93,74,54,0,4,2,0,0,0,0,0
BJNR003950942_UrkErsV_20090831_000001,document,regulation,Verordnung über die Ersetzung zerstörter oder abhanden gekommener gerichtlicher oder notarischer Urkunden,Verordnung über die Ersetzung zerstörter oder abhanden gekommener gerichtlicher oder notarischer Urkunden,797,327,97,0,10,15,9,0,0,0,0
BJNR020330980_BaubetrV-1980_20120331_000001,document,regulation,"Verordnung über die Betriebe des Baugewerbes, in denen die ganzjährige Beschäftigung zu fördern ist","Verordnung über die Betriebe des Baugewerbes, in denen die ganzjährige Beschäftigung zu fördern ist",1012,525,577,0,4,5,6,1,12,1,3
BJNR002830990_VergMstrV_99999999_000001,document,regulation,Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen und im fachtheoretischen Teil der Meisterprüfung für das Vergolder-Handwerk,Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen und im fachtheoretischen Teil der Meisterprüfung für das Vergolder-Handwerk,957,476,275,3,10,17,0,2,0,1,0
BJNR001140987_RöV-1987_20101214_000001,document,regulation,Verordnung über den Schutz vor Schäden durch Röntgenstrahlen,Verordnung über den Schutz vor Schäden durch Röntgenstrahlen,18054,2934,1340,17,66,211,560,14,14,4,3
BJNR013170979_GGArt29Abs6G_99999999_000001,document,statute,"Gesetz über das Verfahren bei Volksentscheid, Volksbegehren und Volksbefragung nach Artikel 29 Abs. 6 des Grundgesetzes","Gesetz über das Verfahren bei Volksentscheid, Volksbegehren und Volksbefragung nach Artikel 29 Abs. 6 des Grundgesetzes",3729,1065,161,4,42,74,23,5,1,1,1
BJNR044200994_SeeZustBV_20151202_000001,document,regulation,Verordnung zur Bezeichnung der zuständigen Vollzugsbeamten des Bundes für bestimmte Aufgaben nach der Strafprozeßordnung auf dem Gebiet der Seeschiffahrt,Verordnung zur Bezeichnung der zuständigen Vollzugsbeamten des Bundes für bestimmte Aufgaben nach der Strafprozeßordnung auf dem Gebiet der Seeschiffahrt,430,217,230,0,5,2,4,5,0,2,0
BJNR716800006_RhMoBordLVAbwV-2_20090331_000001,document,regulation,Zweite Verordnung zur vorübergehenden Abweichung von der Verordnung über die Farbe und Lichtstärke der Bordlichter sowie die Zulassung von Signalleuchten in der Binnenschifffahrt auf Rhein und Mosel,Zweite Verordnung zur vorübergehenden Abweichung von der Verordnung über die Farbe und Lichtstärke der Bordlichter sowie die Zulassung von Signalleuchten in der Binnenschifffahrt auf Rhein und Mosel,0,0,0,0,0,0,0,0,0,0,0
