key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR020650969_RPflG-1969_20030319_000001,document,statute,Rechtspflegergesetz,Rechtspflegergesetz,6915,1621,1074,6,44,63,52,307,18,48,10
BJNR158000998_BtÄndG_20040630_000001,document,statute,Gesetz zur Änderung des Betreuungsrechts sowie weiterer Vorschriften,Gesetz zur Änderung des Betreuungsrechts sowie weiterer Vorschriften,141,101,79,0,4,2,1,2,0,2,0
BJNR001120982_AnwZV_20031231_000001,document,regulation,Verordnung zur Anwartschaftszeit in der Arbeitslosenversicherung,Verordnung zur Anwartschaftszeit in der Arbeitslosenversicherung,348,187,98,0,4,4,0,0,0,0,0
BJNR015420991_URüV_99999999_000001,document,regulation,Verordnung zum Vermögensgesetz über die Rückgabe von Unternehmen,Verordnung zum Vermögensgesetz über die Rückgabe von Unternehmen,3192,944,162,6,21,51,3,67,3,8,3
BJNR208700981_LMeerSchÜbkG_20061107_000001,document,statute,Gesetz zu dem Übereinkommen vom 4. Juni 1974 zur Verhütung der Meeresverschmutzung vom Lande aus,Gesetz zu dem Übereinkommen vom 4. Juni 1974 zur Verhütung der Meeresverschmutzung vom Lande aus,195,124,62,0,6,2,1,0,0,0,0
BJNR012010972_WinterbauUmlV_20031231_000001,document,regulation,Verordnung über die Umlage zur Aufbringung der Mittel für das Wintergeld und das Winterausfallgeld,Verordnung über die Umlage zur Aufbringung der Mittel für das Wintergeld und das Winterausfallgeld,974,388,286,0,9,9,9,5,0,5,0
BJNR108620994_DBAG-BOL_99999999_000001,document,statute,Gesetz zu dem Abkommen vom 30. September 1992 zwischen der Bundesrepublik Deutschland und der Republik Bolivien zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen,Gesetz zu dem Abkommen vom 30. September 1992 zwischen der Bundesrepublik Deutschland und der Republik Bolivien zur Vermeidung der Doppelbesteuerung auf dem Gebiet der Steuern vom Einkommen und vom Vermögen,213,138,106,0,4,2,0,0,0,0,0
BJNR014590981_RVBezGrV-1982_20060817_000001,document,regulation,Verordnung über maßgebende Rechengrößen der Rentenversicherung der Arbeiter und der Angestellten sowie der knappschaftlichen Rentenversicherung für 1982,Verordnung über maßgebende Rechengrößen der Rentenversicherung der Arbeiter und der Angestellten sowie der knappschaftlichen Rentenversicherung für 1982,381,147,215,0,6,0,0,1,0,1,0
BJNR170800002_MitbestGWO-2-2002_20051012_000001,document,regulation,Zweite Wahlordnung zum Mitbestimmungsgesetz,Zweite Wahlordnung zum Mitbestimmungsgesetz,18900,1703,401,50,118,309,282,11,1,6,1
BJNR201750928_VerbÜbkParisHaagG_20101214_000001,document,statute,Gesetz über die am 6. November 1925 im Haag revidierte Pariser Verbandsübereinkunft zum Schutze des gewerblichen Eigentums,Gesetz über die am 6. November 1925 im Haag revidierte Pariser Verbandsübereinkunft zum Schutze des gewerblichen Eigentums,33,31,20,0,2,0,0,0,0,0,0
BJNR024440989_HopfUBeihV_20060424_000001,document,regulation,Verordnung über die Gewährung einer Sonderbeihilfe an anerkannte Hopfenerzeugergemeinschaften für Sortenumstellungen,Verordnung über die Gewährung einer Sonderbeihilfe an anerkannte Hopfenerzeugergemeinschaften für Sortenumstellungen,684,319,93,0,11,7,13,0,0,0,0
BJNR127000000_AntiDHG_20031127_000001,document,statute,Gesetz über die Hilfe für durch Anti-D-Immunprophylaxe mit dem Hepatitis-C-Virus infizierte Personen,Gesetz über die Hilfe für durch Anti-D-Immunprophylaxe mit dem Hepatitis-C-Virus infizierte Personen,1401,517,118,0,15,26,37,14,0,2,0
BJNR165810998_MPGTSEVAnwV-2_20070223_000001,document,regulation,Zweite Verordnung über die Nichtanwendung der MPG-TSE-Verordnung,Zweite Verordnung über die Nichtanwendung der MPG-TSE-Verordnung,56,43,39,0,2,0,4,0,0,0,0
BJNR101730980_DampfkV-1980_20021231_000001,document,regulation,Verordnung über Dampfkesselanlagen,Verordnung über Dampfkesselanlagen,6253,1396,270,0,32,105,78,16,0,3,0
BJNR008490960_FRG-15V_99999999_000001,document,regulation,Verordnung über die Anerkennung von Systemen und Einrichtungen der sozialen Sicherheit als gesetzliche Rentenversicherungen,Verordnung über die Anerkennung von Systemen und Einrichtungen der sozialen Sicherheit als gesetzliche Rentenversicherungen,454,209,380,0,4,0,0,2,2,2,2
BJNR025700000_ChemBioLackAusbV_20090731_000001,document,regulation,"Verordnung über die Berufsausbildung im Laborbereich Chemie, Biologie und Lack","Verordnung über die Berufsausbildung im Laborbereich Chemie, Biologie und Lack",4159,793,233,5,24,49,44,4,5,1,1
